"","slang","formal","In.dictionary","context","category1","category2","category3"
"1","woww","wow",1,"wow","elongasi","0",0
"2","aminn","amin",1,"Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn @tulusm","elongasi","0",0
"3","met","selamat",1,"Met hari netaas kak!? Wish you all the best @tulusm","abreviasi","0",0
"4","netaas","menetas",1,"Met hari netaas kak!? Wish you all the best @tulusm","afiksasi","elongasi",0
"5","keberpa","keberapa",0,"Birthday yg keberpa kak?","abreviasi","0",0
"6","eeeehhhh","eh",1,"Eh ada @ghessawarsana . Eeeehhhh","elongasi","0",0
"7","kata2nyaaa","kata-katanya",0,"Kata2nyaaa ?","reduplikasi","elongasi",0
"8","hallo","halo",1,"Hallo kakak tulus","elongasi","0",0
"9","kaka","kakak",1,"Ngefans banget sama kaka? sukses selalu ka? @tulusm","zeroisasi","0",0
"10","ka","kak",1,"Ngefans banget sama kaka? sukses selalu ka? @tulusm","zeroisasi","0",0
"11","daah","dah",1,"Senyumnya bikin aku meleleh daah?? @tulusm","elongasi","0",0
"12","aaaaahhhh","ah",1,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??","elongasi","0",0
"13","yaa","ya",1,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??","elongasi","0",0
"14","smga","semoga",1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.","abreviasi","0",0
"15","slalu","selalu",1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.","zeroisasi","0",0
"16","amiin","amin",1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.","elongasi","0",0
"17","kk","kakak",1,"hiii kk ganteng..I realy love you somuch..sukses trus ya kk..","abreviasi","0",0
"18","trus","terus",1,"hiii kk ganteng..I realy love you somuch..sukses trus ya kk..","zeroisasi","0",0
"19","kk","kakak",1,"hiii kk ganteng..I realy love you somuch..sukses trus ya kk..","abreviasi","0",0
"20","sii","sih",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","zeroisasi","elongasi",0
"21","nyenengin","menyenangkan",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","afiksasi","0",0
"22","bgt","banget",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","abreviasi","0",0
"23","gemess","gemas",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","modifikasi vokal","0",0
"24","akuuu","aku",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","elongasi","0",0
"25","jgn","jangan",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","abreviasi","0",0
"26","yaa","ya",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","elongasi","0",0
"27","udah","sudah",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","zeroisasi","0",0
"28","gitu","begitu",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","abreviasi","0",0
"29","aja","saja",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","zeroisasi","0",0
"30","gemesiin","menggemaskan",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","afiksasi","elongasi",0
"31","menyenangkn","menyenangkan",1,"Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much","abreviasi","0",0
"32","rb","ribu",1,"??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?","abrevias","",NA
